model,test_rmse,test_mae,test_r2,test_bias,eval_rmse,eval_mae,eval_r2,eval_bias
NLCD baseline,,,,,29.605261491812495,17.433449704331746,0.584804929806954,-6.463183539326043
RF,30.198682602248812,19.87561787940621,0.5711218816309982,,29.670018115789784,20.02622358518434,0.5829867446951179,5.938693901566836
U-Net,26.615679997423918,15.805235627699096,0.6667257052809461,2.7568441447083867,25.761802142886438,15.588180819167425,0.6856113445645478,2.713847720955692
U-Net + Consistency,26.54455526453373,15.519921711574447,0.6685045343913558,3.487556574810525,25.817845876036422,15.522230724656204,0.6842419776954125,3.8043171904548547
Prithvi 100M,37.67868052086133,29.977472219316663,0.3320898292831903,5.758330467759756,37.234313740916,29.77073086284326,0.3432484700134233,5.257390571250009
Prithvi 100M + Consistency,36.923162803960324,29.392950644518113,0.3586066160874205,5.690838558520954,36.67143516130151,29.49767277364449,0.36295487163248874,5.6460744107955065
Prithvi 300M,37.7054671196388,29.746398466359274,0.3311398277926081,6.423896591594316,37.15586920053575,29.661372836337843,0.34601281814137375,6.4472805145897425
Prithvi 300M + Consistency,37.04166873952439,29.355375607013304,0.35448286862712153,6.052397126067899,36.56314177705045,29.32442997378025,0.36671179631472395,5.570193590232891
