model,channels_before,channels_after,eval_rmse_before,eval_rmse_after,delta_eval_rmse,eval_r2_before,eval_r2_after,delta_eval_r2
RF,"nlcd, ndvi, lst, tmean","nlcd, landcover, ndvi, lst, tmean",30.47685859521791,29.670018115789784,-0.806840479428125,0.5599980138279254,0.5829867446951179,0.022988730867192553
U-Net,"nlcd, ndvi, lst, tmean","nlcd, landcover, ndvi, lst, tmean",26.170983671992968,25.761802142886438,-0.4091815291065295,0.6755449945650385,0.6856113445645478,0.010066349999509283
U-Net + Consistency,"nlcd, ndvi, lst, tmean","nlcd, landcover, ndvi, lst, tmean",26.717792413796015,25.817845876036422,-0.8999465377595932,0.6618452221838522,0.6842419776954125,0.022396755511560285
Prithvi 100M,"nlcd, ndvi, lst, tmean","nlcd, landcover, ndvi, lst, tmean",36.785772411974605,37.234313740916,0.44854132894139553,0.3589762142180297,0.3432484700134233,-0.01572774420460643
Prithvi 100M + Consistency,"nlcd, ndvi, lst, tmean","nlcd, landcover, ndvi, lst, tmean",37.10882940951841,36.67143516130151,-0.4373942482168971,0.3476676816979736,0.36295487163248874,0.015287189934515166
